order_id,order_date,customer_id,product_id,quantity,payment_method,order_status,unit_price,cost_price,gross_amount,refund_amount,revenue,cost,margin
O00025,2025-02-08,C0301,P010,1.0,Cash on Delivery,Delivered,10026.33,7331.49,10026.33,0.0,10026.33,7331.49,2694.84
O00026,2025-09-28,C0343,P017,,Card,Cancelled,14858.02,6711.03,14858.02,0.0,14858.02,6711.03,8146.99
O00027,2025-06-06,C0431,P068,4.0,Net Banking,Delivered,12071.31,7153.93,48285.24,0.0,48285.24,28615.72,19669.52
O00028,2025-03-16,C0424,P048,3.0,Net Banking,Delivered,12030.44,8903.65,36091.32,0.0,36091.32,26710.95,9380.37
O00029,2025-05-10,C0332,P052,2.0,Cash on Delivery,Delivered,13297.72,9971.58,26595.44,0.0,26595.44,19943.16,6652.28
O00030,2025-03-25,C0438,P025,2.0,Card,Delivered,1601.59,753.23,3203.18,0.0,3203.18,1506.46,1696.72
O00031,2025-01-22,C0076,P021,2.0,Cash on Delivery,Cancelled,14009.07,10751.96,28018.14,0.0,28018.14,21503.92,6514.22
O00032,2026-04-04,C0174,P065,2.0,UPI,Delivered,839.96,413.59,1679.92,0.0,1679.92,827.18,852.74
O00033,2026-06-23,C0047,P063,2.0,UPI,Delivered,990.1,448.51,1980.2,0.0,1980.2,897.02,1083.18
O00034,2026-01-17,C0015,P051,1.0,UPI,Refunded,14740.26,7745.22,14740.26,14740.26,0.0,7745.22,-7745.22
O00035,2026-03-16,C0361,P036,1.0,UPI,Cancelled,7169.47,3806.59,7169.47,0.0,7169.47,3806.59,3362.88
O00036,2026-08-27,C0147,P066,1.0,Cash on Delivery,Delivered,14371.87,7811.16,14371.87,0.0,14371.87,7811.16,6560.71
O00037,2025-01-21,C0026,P015,3.0,UPI,Delivered,6437.34,3494.57,19312.02,0.0,19312.02,10483.71,8828.31
O00038,2025-10-30,C0308,P039,4.0,Card,Delivered,10818.63,6060.84,43274.52,0.0,43274.52,24243.36,19031.16
O00039,2025-03-25,C0093,P070,2.0,Net Banking,Delivered,3479.96,2016.32,6959.92,0.0,6959.92,4032.64,2927.28
O00040,2026-03-29,C0406,P001,3.0,Net Banking,Delivered,8541.95,5952.01,25625.85,0.0,25625.85,17856.03,7769.82
O00041,2026-01-22,C0232,P023,2.0,UPI,Delivered,439.44,327.46,878.88,0.0,878.88,654.92,223.96
O00042,2026-05-22,C0021,P039,1.0,UPI,Delivered,10818.63,6060.84,10818.63,0.0,10818.63,6060.84,4757.79
O00043,2025-09-14,C0307,P057,3.0,UPI,Delivered,1255.3,644.89,3765.9,0.0,3765.9,1934.67,1831.23
O00044,2026-07-24,C0038,P034,1.0,Cash on Delivery,Delivered,11064.4,6882.23,11064.4,0.0,11064.4,6882.23,4182.17
O00045,2026-06-11,C0276,P041,2.0,Net Banking,Delivered,4375.8,3312.17,8751.6,0.0,8751.6,6624.34,2127.26
O00046,2025-06-11,C0157,P073,2.0,UPI,Delivered,8017.96,5695.21,16035.92,0.0,16035.92,11390.42,4645.5
O00047,2025-06-12,C0179,P013,4.0,Card,Delivered,6574.21,4979.47,26296.84,0.0,26296.84,19917.88,6378.96
O00048,2026-06-08,C0132,P070,2.0,UPI,Delivered,3479.96,2016.32,6959.92,0.0,6959.92,4032.64,2927.28
O00049,2025-09-28,C0311,P006,1.0,Net Banking,Delivered,6245.94,3616.94,6245.94,0.0,6245.94,3616.94,2629.0
O00050,2026-05-07,C0348,P052,2.0,UPI,Delivered,13297.72,9971.58,26595.44,0.0,26595.44,19943.16,6652.28
O00051,2025-07-27,C0028,P003,4.0,Net Banking,Delivered,13309.48,9919.88,53237.92,0.0,53237.92,39679.52,13558.4
O00052,2026-06-23,C0260,P063,4.0,UPI,Delivered,990.1,448.51,3960.4,0.0,3960.4,1794.04,2166.36
O00053,2026-08-07,C0406,P049,1.0,Card,Delivered,4107.04,1855.14,4107.04,0.0,4107.04,1855.14,2251.9
O00054,2025-03-01,C0076,P076,3.0,UPI,Delivered,7520.44,5735.15,22561.32,0.0,22561.32,17205.45,5355.87
O00055,2026-03-06,C0429,P047,2.0,Card,Delivered,14359.31,8667.35,28718.62,0.0,28718.62,17334.7,11383.92
O00056,2026-08-28,C0067,P055,4.0,Card,Delivered,14841.02,10384.11,59364.08,0.0,59364.08,41536.44,17827.64
O00057,2025-11-05,C0342,P064,2.0,UPI,Delivered,5946.13,4282.19,11892.26,0.0,11892.26,8564.38,3327.88
O00058,2026-06-04,C0194,P065,2.0,Card,Cancelled,839.96,413.59,1679.92,0.0,1679.92,827.18,852.74
O00059,2026-08-14,C0162,P067,3.0,Cash on Delivery,Delivered,12445.22,5676.03,37335.66,0.0,37335.66,17028.09,20307.57
O00060,2025-01-27,C0347,P015,4.0,UPI,Delivered,6437.34,3494.57,25749.36,0.0,25749.36,13978.28,11771.08
O00061,2026-07-16,C0439,P032,2.0,UPI,Cancelled,5244.65,3856.3,10489.3,0.0,10489.3,7712.6,2776.7
O00062,2025-07-18,C0361,P068,4.0,Card,Delivered,12071.31,7153.93,48285.24,0.0,48285.24,28615.72,19669.52
O00063,2026-01-22,C0257,P018,1.0,Card,Delivered,303.49,206.25,303.49,0.0,303.49,206.25,97.24
O00064,2025-12-15,C0072,P043,1.0,UPI,Delivered,962.98,655.47,962.98,0.0,962.98,655.47,307.51
O00065,2026-06-20,C0087,P035,2.0,Cash on Delivery,Delivered,349.19,257.18,698.38,0.0,698.38,514.36,184.02
O00066,2026-01-13,C0422,P078,4.0,Card,Delivered,13492.31,9504.32,53969.24,0.0,53969.24,38017.28,15951.96
O00067,2026-07-12,C0262,P058,2.0,Card,Delivered,6203.23,2963.61,12406.46,0.0,12406.46,5927.22,6479.24
O00068,2026-06-11,C0214,P033,4.0,Net Banking,Delivered,7981.03,5524.39,31924.12,0.0,31924.12,22097.56,9826.56
O00069,2025-06-02,C0153,P014,4.0,Cash on Delivery,Delivered,13186.98,9133.57,52747.92,0.0,52747.92,36534.28,16213.64
O00070,2025-07-25,C0210,P034,3.0,Cash on Delivery,Delivered,11064.4,6882.23,33193.2,0.0,33193.2,20646.69,12546.51
O00071,2026-03-31,C0401,P061,3.0,UPI,Delivered,12510.45,6107.96,37531.35,0.0,37531.35,18323.88,19207.47
O00072,2025-09-30,C0061,P004,3.0,Cash on Delivery,Delivered,8094.9,5940.38,24284.7,0.0,24284.7,17821.14,6463.56
O00073,2025-08-24,C0268,P059,2.0,UPI,Delivered,12616.04,7036.26,25232.08,0.0,25232.08,14072.52,11159.56
O00074,2026-06-05,C0262,P029,3.0,Net Banking,Delivered,4293.8,2741.74,12881.4,0.0,12881.4,8225.22,4656.18
O00075,2026-05-16,C0218,P006,3.0,Cash on Delivery,Delivered,6245.94,3616.94,18737.82,0.0,18737.82,10850.82,7887.0
O00076,2025-04-27,C0283,P049,1.0,Card,Delivered,4107.04,1855.14,4107.04,0.0,4107.04,1855.14,2251.9
O00077,2026-01-21,C0136,P040,4.0,Net Banking,Delivered,8959.9,4737.71,35839.6,0.0,35839.6,18950.84,16888.76
O00078,2025-12-10,C0380,P065,4.0,UPI,Delivered,839.96,413.59,3359.84,0.0,3359.84,1654.36,1705.48
O00079,2026-08-07,C0362,P069,3.0,Net Banking,Delivered,9557.74,6950.77,28673.22,0.0,28673.22,20852.31,7820.91
O00080,2026-01-30,C0449,P027,4.0,UPI,Delivered,7352.79,4560.98,29411.16,0.0,29411.16,18243.92,11167.24
O00081,2025-03-05,C0441,P080,1.0,Net Banking,Delivered,9457.18,5733.69,9457.18,0.0,9457.18,5733.69,3723.49
O00082,2025-03-13,C0093,P006,1.0,UPI,Delivered,6245.94,3616.94,6245.94,0.0,6245.94,3616.94,2629.0
O00083,2025-10-01,C0109,P013,3.0,Cash on Delivery,Delivered,6574.21,4979.47,19722.63,0.0,19722.63,14938.41,4784.22
O00084,2025-11-16,C0241,P064,1.0,Card,Delivered,5946.13,4282.19,5946.13,0.0,5946.13,4282.19,1663.94
O00085,2025-12-04,C0355,P062,4.0,UPI,Delivered,2068.98,1188.23,8275.92,0.0,8275.92,4752.92,3523.0
O00086,2026-01-01,C0424,P019,2.0,Net Banking,Refunded,3026.45,1410.62,6052.9,6052.9,0.0,2821.24,-2821.24
O00087,2026-05-10,C0142,P076,4.0,UPI,Refunded,7520.44,5735.15,30081.76,30081.76,0.0,22940.6,-22940.6
O00088,2026-08-30,C0291,P080,2.0,UPI,Delivered,9457.18,5733.69,18914.36,0.0,18914.36,11467.38,7446.98
O00089,2025-06-15,C0432,P043,3.0,UPI,Delivered,962.98,655.47,2888.94,0.0,2888.94,1966.41,922.53
O00090,2026-06-28,C0237,P074,2.0,Net Banking,Delivered,4125.43,2092.99,8250.86,0.0,8250.86,4185.98,4064.88
O00091,2025-01-11,C0340,P020,1.0,Card,Delivered,5944.27,3719.68,5944.27,0.0,5944.27,3719.68,2224.59
O00092,2025-10-28,C0312,P068,4.0,Cash on Delivery,Delivered,12071.31,7153.93,48285.24,0.0,48285.24,28615.72,19669.52
O00093,2025-04-12,C0177,P044,2.0,Card,Refunded,1909.17,978.34,3818.34,3818.34,0.0,1956.68,-1956.68
O00094,2026-03-01,C0141,P023,4.0,UPI,Delivered,439.44,327.46,1757.76,0.0,1757.76,1309.84,447.92
O00095,2026-01-27,C0189,P002,3.0,Net Banking,Refunded,7371.61,3402.04,22114.83,22114.83,0.0,10206.12,-10206.12
O00096,2025-08-02,C0049,P022,3.0,Card,Delivered,1329.44,646.27,3988.32,0.0,3988.32,1938.81,2049.51
O00097,2025-03-29,C0302,P057,1.0,UPI,Delivered,1255.3,644.89,1255.3,0.0,1255.3,644.89,610.41
O00098,2026-07-07,C0369,P072,3.0,Cash on Delivery,Delivered,9079.93,6344.33,27239.79,0.0,27239.79,19032.99,8206.8
O00099,2026-02-05,C0190,P007,2.0,Cash on Delivery,Delivered,8714.69,4706.6,17429.38,0.0,17429.38,9413.2,8016.18
O00100,2026-08-11,C0136,P078,3.0,Cash on Delivery,Delivered,13492.31,9504.32,40476.93,0.0,40476.93,28512.96,11963.97
O00101,2025-02-15,C0043,P056,1.0,UPI,Delivered,11227.29,6010.72,11227.29,0.0,11227.29,6010.72,5216.57
O00102,2026-04-08,C0404,P067,4.0,Net Banking,Delivered,12445.22,5676.03,49780.88,0.0,49780.88,22704.12,27076.76
O00103,2026-08-15,C0380,P016,4.0,Card,Delivered,7090.56,3781.92,28362.24,0.0,28362.24,15127.68,13234.56
O00104,2025-11-06,C0353,P051,3.0,Cash on Delivery,Delivered,14740.26,7745.22,44220.78,0.0,44220.78,23235.66,20985.12
O00105,2025-03-27,C0090,P080,2.0,UPI,Delivered,9457.18,5733.69,18914.36,0.0,18914.36,11467.38,7446.98
O00106,2025-04-02,C0295,P072,1.0,UPI,Delivered,9079.93,6344.33,9079.93,0.0,9079.93,6344.33,2735.6
O00107,2025-08-30,C0341,P012,2.0,Card,Delivered,7946.47,4438.79,15892.94,0.0,15892.94,8877.58,7015.36
O00108,2025-01-02,C0245,P053,1.0,Cash on Delivery,Refunded,9131.74,4112.66,9131.74,9131.74,0.0,4112.66,-4112.66
O00109,2025-08-13,C0433,P075,3.0,UPI,Delivered,7874.14,5546.4,23622.42,0.0,23622.42,16639.2,6983.22
O00110,2026-08-12,C0192,P005,1.0,Card,Delivered,6783.17,4076.36,6783.17,0.0,6783.17,4076.36,2706.81
O00111,2025-04-26,C0318,P027,1.0,Net Banking,Delivered,7352.79,4560.98,7352.79,0.0,7352.79,4560.98,2791.81
O00112,2025-04-13,C0106,P012,3.0,Net Banking,Delivered,7946.47,4438.79,23839.41,0.0,23839.41,13316.37,10523.04
O00113,2025-07-13,C0363,P017,2.0,Net Banking,Delivered,14858.02,6711.03,29716.04,0.0,29716.04,13422.06,16293.98
O00114,2025-06-15,C0310,P006,3.0,Cash on Delivery,Delivered,6245.94,3616.94,18737.82,0.0,18737.82,10850.82,7887.0
O00115,2025-03-31,C0382,P005,1.0,Card,Delivered,6783.17,4076.36,6783.17,0.0,6783.17,4076.36,2706.81
O00116,2025-05-02,C0233,P057,3.0,Card,Delivered,1255.3,644.89,3765.9,0.0,3765.9,1934.67,1831.23
O00117,2025-05-23,C0265,P028,1.0,UPI,Delivered,8837.13,6620.33,8837.13,0.0,8837.13,6620.33,2216.8
O00118,2025-04-16,C0344,P078,3.0,UPI,Cancelled,13492.31,9504.32,40476.93,0.0,40476.93,28512.96,11963.97
O00119,2026-03-04,C0037,P069,4.0,UPI,Refunded,9557.74,6950.77,38230.96,38230.96,0.0,27803.08,-27803.08
O00120,2025-11-01,C0305,P059,4.0,Card,Delivered,12616.04,7036.26,50464.16,0.0,50464.16,28145.04,22319.12
O00121,2025-11-13,C0041,P033,3.0,UPI,Delivered,7981.03,5524.39,23943.09,0.0,23943.09,16573.17,7369.92
O00122,2025-01-09,C0017,P062,2.0,Card,Delivered,2068.98,1188.23,4137.96,0.0,4137.96,2376.46,1761.5
O00123,2025-03-14,C0344,P050,1.0,Card,Delivered,8951.75,6450.47,8951.75,0.0,8951.75,6450.47,2501.28
O00124,2025-12-25,C0277,P019,4.0,Net Banking,Delivered,3026.45,1410.62,12105.8,0.0,12105.8,5642.48,6463.32
O00125,2025-08-11,C0307,P069,2.0,UPI,Delivered,9557.74,6950.77,19115.48,0.0,19115.48,13901.54,5213.94
O00126,2026-02-20,C0059,P066,1.0,Net Banking,Refunded,14371.87,7811.16,14371.87,14371.87,0.0,7811.16,-7811.16
O00127,2026-07-07,C0423,P047,4.0,Cash on Delivery,Cancelled,14359.31,8667.35,57437.24,0.0,57437.24,34669.4,22767.84
O00128,2026-01-05,C0183,P039,4.0,Cash on Delivery,Delivered,10818.63,6060.84,43274.52,0.0,43274.52,24243.36,19031.16
O00129,2025-09-21,C0041,P068,3.0,Cash on Delivery,Delivered,12071.31,7153.93,36213.93,0.0,36213.93,21461.79,14752.14
O00130,2025-11-14,C0039,P033,1.0,Card,Delivered,7981.03,5524.39,7981.03,0.0,7981.03,5524.39,2456.64
O00131,2025-03-25,C0397,P013,2.0,Card,Delivered,6574.21,4979.47,13148.42,0.0,13148.42,9958.94,3189.48
O00132,2025-11-14,C0192,P054,2.0,Card,Delivered,13584.74,8606.48,27169.48,0.0,27169.48,17212.96,9956.52
O00133,2025-04-21,C0267,P007,2.0,UPI,Delivered,8714.69,4706.6,17429.38,0.0,17429.38,9413.2,8016.18
O00134,2025-09-08,C0147,P079,1.0,Net Banking,Delivered,7111.7,4863.19,7111.7,0.0,7111.7,4863.19,2248.51
O00135,2026-01-18,C0395,P014,2.0,Card,Delivered,13186.98,9133.57,26373.96,0.0,26373.96,18267.14,8106.82
O00136,2025-01-07,C0333,P019,2.0,Net Banking,Delivered,3026.45,1410.62,6052.9,0.0,6052.9,2821.24,3231.66
O00137,2026-04-04,C0127,P054,2.0,Net Banking,Delivered,13584.74,8606.48,27169.48,0.0,27169.48,17212.96,9956.52
O00138,2025-03-25,C0046,P020,3.0,Net Banking,Delivered,5944.27,3719.68,17832.81,0.0,17832.81,11159.04,6673.77
O00139,2025-07-27,C0045,P029,3.0,UPI,Delivered,4293.8,2741.74,12881.4,0.0,12881.4,8225.22,4656.18
O00140,2026-01-25,C0001,P024,1.0,UPI,Delivered,1074.45,835.05,1074.45,0.0,1074.45,835.05,239.4
O00141,2025-11-10,C0168,P063,1.0,Cash on Delivery,Delivered,990.1,448.51,990.1,0.0,990.1,448.51,541.59
O00142,2025-01-22,C0108,P074,2.0,Cash on Delivery,Delivered,4125.43,2092.99,8250.86,0.0,8250.86,4185.98,4064.88
O00143,2026-02-14,C0019,P057,3.0,Net Banking,Delivered,1255.3,644.89,3765.9,0.0,3765.9,1934.67,1831.23
O00144,2026-05-30,C0332,P008,4.0,Cash on Delivery,Cancelled,12118.46,7359.58,48473.84,0.0,48473.84,29438.32,19035.52
O00145,2025-05-07,C0072,P062,4.0,Net Banking,Delivered,2068.98,1188.23,8275.92,0.0,8275.92,4752.92,3523.0
O00146,2025-01-14,C0445,P029,2.0,UPI,Delivered,4293.8,2741.74,8587.6,0.0,8587.6,5483.48,3104.12
O00147,2025-01-12,C0109,P074,2.0,UPI,Delivered,4125.43,2092.99,8250.86,0.0,8250.86,4185.98,4064.88
O00148,2025-03-28,C0268,P017,3.0,UPI,Delivered,14858.02,6711.03,44574.06,0.0,44574.06,20133.09,24440.97
O00149,2026-06-08,C0445,P066,3.0,Card,Delivered,14371.87,7811.16,43115.61,0.0,43115.61,23433.48,19682.13
O00150,2026-06-21,C0240,P006,3.0,Net Banking,Refunded,6245.94,3616.94,18737.82,18737.82,0.0,10850.82,-10850.82
O00151,2025-10-28,C0417,P058,1.0,UPI,Cancelled,6203.23,2963.61,6203.23,0.0,6203.23,2963.61,3239.62
O00152,2025-08-31,C0301,P069,1.0,Net Banking,Delivered,9557.74,6950.77,9557.74,0.0,9557.74,6950.77,2606.97
O00153,2025-05-02,C0090,P028,2.0,Cash on Delivery,Delivered,8837.13,6620.33,17674.26,0.0,17674.26,13240.66,4433.6
O00154,2025-05-27,C0103,P062,1.0,Cash on Delivery,Delivered,2068.98,1188.23,2068.98,0.0,2068.98,1188.23,880.75
O00155,2026-07-21,C0250,P041,3.0,UPI,Delivered,4375.8,3312.17,13127.4,0.0,13127.4,9936.51,3190.89
O00156,2025-12-22,C0008,P069,3.0,Net Banking,Delivered,9557.74,6950.77,28673.22,0.0,28673.22,20852.31,7820.91
O00157,2025-11-05,C0153,P041,1.0,UPI,Delivered,4375.8,3312.17,4375.8,0.0,4375.8,3312.17,1063.63
O00158,2025-10-15,C0347,P049,4.0,Cash on Delivery,Delivered,4107.04,1855.14,16428.16,0.0,16428.16,7420.56,9007.6
O00159,2025-11-03,C0174,P049,2.0,UPI,Delivered,4107.04,1855.14,8214.08,0.0,8214.08,3710.28,4503.8
O00160,2026-08-17,C0343,P076,4.0,Net Banking,Delivered,7520.44,5735.15,30081.76,0.0,30081.76,22940.6,7141.16
O00161,2026-07-03,C0158,P071,2.0,Cash on Delivery,Refunded,7918.43,4032.33,15836.86,15836.86,0.0,8064.66,-8064.66
O00162,2025-12-18,C0431,P003,4.0,Card,Delivered,13309.48,9919.88,53237.92,0.0,53237.92,39679.52,13558.4
O00163,2025-11-08,C0215,P010,1.0,Cash on Delivery,Delivered,10026.33,7331.49,10026.33,0.0,10026.33,7331.49,2694.84
O00164,2025-02-28,C0177,P035,2.0,Card,Delivered,349.19,257.18,698.38,0.0,698.38,514.36,184.02
O00165,2025-02-04,C0175,P080,2.0,UPI,Delivered,9457.18,5733.69,18914.36,0.0,18914.36,11467.38,7446.98
O00166,2026-03-21,C0340,P002,2.0,UPI,Delivered,7371.61,3402.04,14743.22,0.0,14743.22,6804.08,7939.14
O00167,2025-04-03,C0338,P024,3.0,Net Banking,Delivered,1074.45,835.05,3223.35,0.0,3223.35,2505.15,718.2
O00168,2025-07-26,C0146,P074,3.0,Card,Delivered,4125.43,2092.99,12376.29,0.0,12376.29,6278.97,6097.32
O00169,2025-12-19,C0450,P038,4.0,UPI,Delivered,12836.48,6455.88,51345.92,0.0,51345.92,25823.52,25522.4
O00170,2025-11-28,C0324,P022,1.0,Card,Delivered,1329.44,646.27,1329.44,0.0,1329.44,646.27,683.17
O00171,2025-06-08,C0161,P026,3.0,UPI,Delivered,852.67,632.13,2558.01,0.0,2558.01,1896.39,661.62
O00172,2025-01-24,C0127,P043,2.0,Cash on Delivery,Delivered,962.98,655.47,1925.96,0.0,1925.96,1310.94,615.02
O00173,2026-02-08,C0420,P055,3.0,UPI,Delivered,14841.02,10384.11,44523.06,0.0,44523.06,31152.33,13370.73
O00174,2026-05-31,C0082,P039,1.0,Net Banking,Refunded,10818.63,6060.84,10818.63,10818.63,0.0,6060.84,-6060.84
O00175,2025-12-30,C0147,P029,3.0,Cash on Delivery,Delivered,4293.8,2741.74,12881.4,0.0,12881.4,8225.22,4656.18
O00176,2026-01-17,C0239,P020,2.0,Net Banking,Delivered,5944.27,3719.68,11888.54,0.0,11888.54,7439.36,4449.18
O00177,2026-06-16,C0412,P041,4.0,Cash on Delivery,Delivered,4375.8,3312.17,17503.2,0.0,17503.2,13248.68,4254.52
O00178,2025-06-01,C0424,P054,2.0,Card,Delivered,13584.74,8606.48,27169.48,0.0,27169.48,17212.96,9956.52
O00179,2026-07-16,C0084,P020,1.0,Net Banking,Cancelled,5944.27,3719.68,5944.27,0.0,5944.27,3719.68,2224.59
O00180,2026-08-31,C0113,P019,4.0,UPI,Refunded,3026.45,1410.62,12105.8,12105.8,0.0,5642.48,-5642.48
O00181,2026-02-24,C0225,P066,3.0,Card,Delivered,14371.87,7811.16,43115.61,0.0,43115.61,23433.48,19682.13
O00182,2025-09-07,C0332,P030,3.0,UPI,Delivered,6154.82,4114.48,18464.46,0.0,18464.46,12343.44,6121.02
O00183,2025-04-27,C0378,P053,3.0,Cash on Delivery,Delivered,9131.74,4112.66,27395.22,0.0,27395.22,12337.98,15057.24
O00184,2026-05-27,C0243,P034,4.0,Cash on Delivery,Delivered,11064.4,6882.23,44257.6,0.0,44257.6,27528.92,16728.68
O00185,2026-08-01,C0143,P022,2.0,UPI,Cancelled,1329.44,646.27,2658.88,0.0,2658.88,1292.54,1366.34
O00186,2025-12-01,C0041,P067,4.0,UPI,Delivered,12445.22,5676.03,49780.88,0.0,49780.88,22704.12,27076.76
O00187,2026-02-22,C0423,P006,4.0,Card,Delivered,6245.94,3616.94,24983.76,0.0,24983.76,14467.76,10516.0
O00188,2025-10-22,C0258,P079,1.0,UPI,Delivered,7111.7,4863.19,7111.7,0.0,7111.7,4863.19,2248.51
O00189,2026-01-06,C0447,P027,4.0,Net Banking,Delivered,7352.79,4560.98,29411.16,0.0,29411.16,18243.92,11167.24
O00190,2025-07-05,C0285,P010,3.0,Net Banking,Delivered,10026.33,7331.49,30078.99,0.0,30078.99,21994.47,8084.52
O00191,2025-09-03,C0105,P073,2.0,UPI,Delivered,8017.96,5695.21,16035.92,0.0,16035.92,11390.42,4645.5
O00192,2025-09-25,C0202,P048,2.0,Net Banking,Delivered,12030.44,8903.65,24060.88,0.0,24060.88,17807.3,6253.58
O00193,2025-08-25,C0450,P070,2.0,UPI,Delivered,3479.96,2016.32,6959.92,0.0,6959.92,4032.64,2927.28
O00194,2026-06-14,C0307,P059,3.0,Card,Delivered,12616.04,7036.26,37848.12,0.0,37848.12,21108.78,16739.34
O00195,2026-07-06,C0331,P059,3.0,Net Banking,Delivered,12616.04,7036.26,37848.12,0.0,37848.12,21108.78,16739.34
O00196,2025-01-21,C0266,P002,3.0,Net Banking,Delivered,7371.61,3402.04,22114.83,0.0,22114.83,10206.12,11908.71
O00197,2026-06-04,C0398,P029,3.0,UPI,Delivered,4293.8,2741.74,12881.4,0.0,12881.4,8225.22,4656.18
O00198,2025-04-10,C0210,P068,3.0,Net Banking,Delivered,12071.31,7153.93,36213.93,0.0,36213.93,21461.79,14752.14
O00199,2026-04-23,C0051,P065,4.0,Cash on Delivery,Refunded,839.96,413.59,3359.84,3359.84,0.0,1654.36,-1654.36
O00200,2026-08-22,C0118,P026,3.0,Card,Delivered,852.67,632.13,2558.01,0.0,2558.01,1896.39,661.62
O00201,2025-10-25,C0201,P010,3.0,Card,Delivered,10026.33,7331.49,30078.99,0.0,30078.99,21994.47,8084.52
O00202,2026-06-10,C0377,P053,3.0,Net Banking,Delivered,9131.74,4112.66,27395.22,0.0,27395.22,12337.98,15057.24
O00203,2025-11-30,C0039,P079,3.0,Net Banking,Delivered,7111.7,4863.19,21335.1,0.0,21335.1,14589.57,6745.53
O00204,2025-01-02,C0028,P059,2.0,Cash on Delivery,Delivered,12616.04,7036.26,25232.08,0.0,25232.08,14072.52,11159.56
O00205,2026-01-10,C0259,P022,3.0,Cash on Delivery,Delivered,1329.44,646.27,3988.32,0.0,3988.32,1938.81,2049.51
O00206,2025-10-20,C0084,P051,4.0,Net Banking,Delivered,14740.26,7745.22,58961.04,0.0,58961.04,30980.88,27980.16
O00207,2026-07-07,C0155,P048,4.0,Net Banking,Delivered,12030.44,8903.65,48121.76,0.0,48121.76,35614.6,12507.16
O00208,2025-11-14,C0117,P021,4.0,Cash on Delivery,Delivered,14009.07,10751.96,56036.28,0.0,56036.28,43007.84,13028.44
O00209,2026-05-17,C0002,P022,1.0,UPI,Delivered,1329.44,646.27,1329.44,0.0,1329.44,646.27,683.17
