order_id,order_date,warehouse,carrier,route,product_type,day_of_week,season,promised_date,delay_days,actual_delivery_date,delivery_status,warehouse_processing_hours,distance_km,delivery_attempts
O00069,2025-05-01,Kolkata-W1,DTDC,Regional,Fashion,Saturday,Summer,2025-05-05,2,2025-05-07,Delayed,13.5,784.7,1
O00070,2025-03-29,Mumbai-W1,Delhivery,West,Home,Friday,Festive,2025-04-03,4,2025-04-07,Delayed,8.8,976.7,1
O00071,2025-08-05,Bengaluru-W1,BlueDart,Local,Home,Saturday,Summer,2025-08-08,0,2025-08-08,On Time,15.4,1598.9,1
O00072,2026-07-27,Hyderabad-W1,Delhivery,South,Sports,Thursday,Summer,2026-08-03,0,2026-08-03,On Time,7.6,1140.9,2
O00073,2025-06-28,Mumbai-W1,XpressBees,North,Electronics,Saturday,Summer,2025-07-03,2,2025-07-05,Delayed,8.2,1302.1,2
O00074,2025-06-12,Mumbai-W1,XpressBees,South,Fashion,Saturday,Spring,2025-06-18,0,2025-06-18,On Time,4.8,1077.5,1
O00075,2026-08-16,Hyderabad-W1,Delhivery,Regional,Fashion,Monday,Festive,2026-08-22,3,2026-08-25,Delayed,4.4,1159.2,1
O00076,2025-06-19,Hyderabad-W1,Delhivery,South,Fashion,Monday,Spring,2025-06-23,1,2025-06-24,Delayed,14.1,1043.1,2
O00077,2025-10-28,Delhi-W1,XpressBees,Local,Electronics,Tuesday,Spring,2025-10-30,1,2025-10-31,Delayed,3.7,53.2,1
O00078,2026-01-09,Bengaluru-W1,Delhivery,East,Fashion,Saturday,Festive,2026-01-16,2,2026-01-18,Delayed,6.8,1799.3,2
O00079,2025-07-22,Hyderabad-W1,EcomExpress,East,Beauty,Friday,Spring,2025-07-29,2,2025-07-31,Delayed,14.5,65.3,1
O00080,2025-02-16,Kolkata-W1,XpressBees,North,Beauty,Thursday,Festive,2025-02-18,4,2025-02-22,Delayed,2.3,714.3,1
O00081,2026-04-08,Delhi-W1,DTDC,North,Electronics,Sunday,Monsoon,2026-04-14,2,2026-04-16,Delayed,18.9,193.7,1
O00082,2026-02-12,Bengaluru-W1,XpressBees,South,Fashion,Sunday,Summer,2026-02-18,1,2026-02-19,Delayed,4.0,179.0,1
O00083,2025-07-13,Kolkata-W1,BlueDart,North,Sports,Wednesday,Spring,2025-07-20,2,2025-07-22,Delayed,19.0,1429.4,1
O00084,2026-03-03,Kolkata-W1,EcomExpress,West,Sports,Friday,Festive,2026-03-06,5,2026-03-11,Delayed,3.7,769.5,1
O00085,2025-11-13,Bengaluru-W1,DTDC,Local,Sports,Friday,Winter,2025-11-20,1,2025-11-21,Delayed,14.1,1443.0,1
O00086,2026-04-24,Delhi-W1,Delhivery,Regional,Beauty,Tuesday,Spring,2026-04-30,2,2026-05-02,Delayed,5.7,494.7,2
O00087,2026-02-25,Kolkata-W1,BlueDart,Regional,Sports,Thursday,Spring,2026-03-03,1,2026-03-04,Delayed,26.4,465.4,1
O00088,2025-09-26,Mumbai-W1,BlueDart,South,Fashion,Thursday,Festive,2025-09-29,2,2025-10-01,Delayed,7.3,456.0,2
O00089,2026-04-26,Bengaluru-W1,EcomExpress,Regional,Fashion,Monday,Winter,2026-05-01,3,2026-05-04,Delayed,3.3,1111.0,2
O00090,2025-09-20,Bengaluru-W1,DTDC,South,Sports,Monday,Winter,2025-09-25,1,2025-09-26,Delayed,11.9,1467.9,1
O00091,2026-03-02,Hyderabad-W1,BlueDart,North,Home,Friday,Monsoon,2026-03-05,1,2026-03-06,Delayed,6.2,816.8,3
O00092,2025-06-15,Delhi-W1,DTDC,North,Sports,Tuesday,Spring,2025-06-18,5,2025-06-23,Delayed,12.7,685.8,1
O00093,2026-03-04,Mumbai-W1,DTDC,West,Home,Thursday,Summer,2026-03-09,1,2026-03-10,Delayed,18.8,1752.6,2
O00094,2026-02-01,Mumbai-W1,BlueDart,West,Electronics,Tuesday,Spring,2026-02-06,1,2026-02-07,Delayed,14.3,214.6,3
O00095,2025-08-04,Hyderabad-W1,DTDC,Local,Electronics,Wednesday,Summer,2025-08-09,1,2025-08-10,Delayed,2.1,878.5,3
O00096,2025-04-17,Kolkata-W1,EcomExpress,Regional,Fashion,Sunday,Summer,2025-04-22,4,2025-04-26,Delayed,3.7,738.2,2
O00097,2025-04-08,Kolkata-W1,BlueDart,West,Beauty,Thursday,Festive,2025-04-15,5,2025-04-20,Delayed,10.2,181.1,1
O00098,2026-04-27,Mumbai-W1,EcomExpress,Local,Fashion,Monday,Spring,2026-05-04,3,2026-05-07,Delayed,10.9,486.4,1
O00099,2026-05-14,Delhi-W1,EcomExpress,East,Fashion,Friday,Festive,2026-05-18,5,2026-05-23,Delayed,0.8,56.1,2
O00100,2025-08-18,Kolkata-W1,DTDC,West,Beauty,Tuesday,Monsoon,2025-08-21,0,2025-08-21,On Time,3.1,1579.1,1
O00101,2025-09-14,Bengaluru-W1,DTDC,Local,Fashion,Sunday,Summer,2025-09-16,1,2025-09-17,Delayed,4.0,1096.1,1
O00102,2025-02-12,Hyderabad-W1,BlueDart,South,Beauty,Sunday,Winter,2025-02-16,2,2025-02-18,Delayed,19.7,1468.0,1
O00103,2025-08-30,Delhi-W1,Delhivery,South,Fashion,Sunday,Summer,2025-09-01,1,2025-09-02,Delayed,5.2,941.2,3
O00104,2026-07-08,Kolkata-W1,BlueDart,Local,Electronics,Monday,Monsoon,2026-07-10,0,2026-07-10,On Time,13.4,1081.1,1
O00105,2025-04-05,Mumbai-W1,EcomExpress,North,Home,Friday,Summer,2025-04-11,2,2025-04-13,Delayed,17.1,1263.0,1
O00106,2025-07-07,Hyderabad-W1,DTDC,East,Fashion,Monday,Festive,2025-07-10,2,2025-07-12,Delayed,5.1,1634.9,1
O00107,2026-01-20,Kolkata-W1,EcomExpress,Local,Home,Thursday,Spring,2026-01-27,2,2026-01-29,Delayed,8.0,169.7,1
O00108,2026-02-04,Mumbai-W1,XpressBees,West,Sports,Tuesday,Winter,2026-02-08,0,2026-02-08,On Time,13.5,599.1,2
O00109,2026-05-21,Kolkata-W1,XpressBees,North,Fashion,Wednesday,Festive,2026-05-24,2,2026-05-26,Delayed,2.1,1277.7,1
O00110,2025-06-16,Hyderabad-W1,EcomExpress,Local,Electronics,Saturday,Spring,2025-06-21,2,2025-06-23,Delayed,7.0,1725.2,2
O00111,2025-05-05,Bengaluru-W1,Delhivery,Regional,Beauty,Sunday,Winter,2025-05-08,2,2025-05-10,Delayed,18.2,1765.5,1
O00112,2025-03-28,Bengaluru-W1,Delhivery,West,Electronics,Monday,Monsoon,2025-03-30,3,2025-04-02,Delayed,10.7,1150.4,3
O00113,2026-05-04,Mumbai-W1,BlueDart,West,Home,Saturday,Summer,2026-05-11,2,2026-05-13,Delayed,10.8,352.5,1
O00114,2025-08-14,Bengaluru-W1,BlueDart,South,Beauty,Tuesday,Winter,2025-08-19,3,2025-08-22,Delayed,15.5,219.0,1
O00115,2025-12-11,Hyderabad-W1,BlueDart,Regional,Electronics,Thursday,Monsoon,2025-12-14,2,2025-12-16,Delayed,5.6,1703.1,3
O00116,2026-06-02,Mumbai-W1,DTDC,Regional,Electronics,Monday,Spring,2026-06-05,1,2026-06-06,Delayed,3.8,783.9,2
O00117,2025-01-31,Kolkata-W1,Delhivery,West,Electronics,Thursday,Winter,2025-02-07,2,2025-02-09,Delayed,10.4,354.7,2
O00118,2025-10-23,Delhi-W1,EcomExpress,East,Beauty,Wednesday,Monsoon,2025-10-25,3,2025-10-28,Delayed,6.0,1681.3,1
O00119,2026-02-18,Kolkata-W1,XpressBees,North,Electronics,Sunday,Spring,2026-02-23,2,2026-02-25,Delayed,5.7,192.6,1
O00120,2025-05-15,Hyderabad-W1,Delhivery,South,Electronics,Wednesday,Festive,2025-05-17,2,2025-05-19,Delayed,3.7,1314.6,2
O00121,2026-06-09,Mumbai-W1,Delhivery,Regional,Home,Sunday,Summer,2026-06-16,2,2026-06-18,Delayed,11.8,1127.3,2
O00122,2025-01-04,Kolkata-W1,Delhivery,South,Electronics,Friday,Monsoon,2025-01-07,0,2025-01-07,On Time,7.4,162.5,1
O00123,2025-06-27,Mumbai-W1,BlueDart,West,Electronics,Friday,Festive,2025-07-01,2,2025-07-03,Delayed,3.8,613.1,1
O00124,2025-09-16,Bengaluru-W1,DTDC,North,Sports,Friday,Spring,2025-09-20,2,2025-09-22,Delayed,16.1,274.1,1
O00125,2025-03-06,Delhi-W1,EcomExpress,Local,Beauty,Thursday,Winter,2025-03-12,4,2025-03-16,Delayed,6.7,1090.1,1
O00126,2025-12-29,Hyderabad-W1,BlueDart,Regional,Sports,Friday,Summer,2026-01-02,2,2026-01-04,Delayed,12.0,861.4,2
O00127,2025-01-17,Kolkata-W1,DTDC,North,Home,Tuesday,Spring,2025-01-24,0,2025-01-24,On Time,22.6,12.7,1
O00128,2025-07-19,Delhi-W1,Delhivery,South,Sports,Saturday,Monsoon,2025-07-26,0,2025-07-26,On Time,15.9,1756.4,2
O00129,2026-06-28,Hyderabad-W1,DTDC,West,Fashion,Saturday,Summer,2026-07-05,2,2026-07-07,Delayed,21.1,632.5,1
O00130,2025-07-31,Hyderabad-W1,BlueDart,North,Beauty,Thursday,Festive,2025-08-05,3,2025-08-08,Delayed,15.7,468.5,1
O00131,2026-03-11,Bengaluru-W1,Delhivery,Local,Electronics,Thursday,Summer,2026-03-17,0,2026-03-17,On Time,7.0,404.3,2
O00132,2025-09-30,Mumbai-W1,BlueDart,North,Sports,Friday,Festive,2025-10-05,5,2025-10-10,Delayed,4.6,290.1,1
O00133,2025-10-17,Mumbai-W1,EcomExpress,West,Sports,Sunday,Spring,2025-10-21,3,2025-10-24,Delayed,6.8,1798.5,1
O00134,2026-04-28,Delhi-W1,Delhivery,South,Electronics,Saturday,Winter,2026-05-02,0,2026-05-02,On Time,7.1,534.7,2
O00135,2025-08-22,Bengaluru-W1,DTDC,Regional,Electronics,Saturday,Summer,2025-08-25,3,2025-08-28,Delayed,18.7,732.9,3
O00136,2026-02-12,Hyderabad-W1,BlueDart,Regional,Home,Friday,Winter,2026-02-17,2,2026-02-19,Delayed,6.1,1569.1,3
O00137,2025-05-26,Bengaluru-W1,XpressBees,East,Sports,Thursday,Winter,2025-05-28,1,2025-05-29,Delayed,3.1,1157.2,1
O00138,2026-07-16,Bengaluru-W1,DTDC,South,Sports,Wednesday,Summer,2026-07-19,2,2026-07-21,Delayed,10.0,666.8,1
O00139,2026-03-06,Delhi-W1,DTDC,East,Fashion,Sunday,Summer,2026-03-11,0,2026-03-11,On Time,8.9,1617.5,1
O00140,2026-03-08,Mumbai-W1,Delhivery,East,Fashion,Wednesday,Winter,2026-03-15,1,2026-03-16,Delayed,4.8,1350.8,1
O00141,2026-06-29,Bengaluru-W1,DTDC,West,Sports,Friday,Monsoon,2026-07-05,0,2026-07-05,On Time,6.5,414.1,1
O00142,2026-05-12,Bengaluru-W1,BlueDart,West,Fashion,Wednesday,Monsoon,2026-05-17,2,2026-05-19,Delayed,21.5,1160.5,2
O00143,2025-03-30,Bengaluru-W1,XpressBees,West,Sports,Tuesday,Summer,2025-04-05,2,2025-04-07,Delayed,11.8,1660.7,3
O00144,2026-02-15,Kolkata-W1,EcomExpress,Local,Beauty,Tuesday,Winter,2026-02-21,2,2026-02-23,Delayed,6.8,896.1,1
O00145,2025-08-29,Bengaluru-W1,XpressBees,South,Home,Tuesday,Winter,2025-09-02,4,2025-09-06,Delayed,4.8,1321.8,1
O00146,2025-08-11,Bengaluru-W1,BlueDart,Regional,Fashion,Thursday,Spring,2025-08-13,2,2025-08-15,Delayed,28.5,1748.1,1
O00147,2026-04-13,Hyderabad-W1,Delhivery,South,Sports,Thursday,Winter,2026-04-18,2,2026-04-20,Delayed,24.2,1244.3,1
O00148,2026-07-23,Kolkata-W1,BlueDart,West,Fashion,Thursday,Monsoon,2026-07-25,0,2026-07-25,On Time,15.1,188.9,1
O00149,2025-11-18,Bengaluru-W1,DTDC,Local,Home,Thursday,Spring,2025-11-24,0,2025-11-24,On Time,7.3,444.0,1
O00150,2026-01-10,Bengaluru-W1,Delhivery,South,Beauty,Thursday,Monsoon,2026-01-14,1,2026-01-15,Delayed,4.6,1073.2,1
O00151,2025-04-22,Delhi-W1,EcomExpress,South,Electronics,Friday,Festive,2025-04-24,5,2025-04-29,Delayed,4.7,499.6,1
O00152,2026-06-11,Delhi-W1,EcomExpress,East,Electronics,Wednesday,Summer,2026-06-14,3,2026-06-17,Delayed,7.3,1723.8,2
O00153,2026-02-16,Kolkata-W1,BlueDart,South,Fashion,Friday,Festive,2026-02-22,5,2026-02-27,Delayed,6.1,732.6,1
O00154,2025-09-26,Hyderabad-W1,DTDC,East,Sports,Wednesday,Summer,2025-09-29,0,2025-09-29,On Time,8.5,825.7,1
O00155,2025-09-09,Kolkata-W1,EcomExpress,East,Home,Friday,Monsoon,2025-09-16,2,2025-09-18,Delayed,8.2,1264.4,1
O00156,2026-01-09,Kolkata-W1,XpressBees,North,Beauty,Tuesday,Monsoon,2026-01-11,2,2026-01-13,Delayed,4.1,946.0,2
O00157,2026-03-26,Delhi-W1,Delhivery,West,Beauty,Monday,Festive,2026-03-28,3,2026-03-31,Delayed,4.2,691.0,1
O00158,2026-06-21,Delhi-W1,XpressBees,Local,Beauty,Thursday,Summer,2026-06-23,1,2026-06-24,Delayed,6.9,142.6,1
O00159,2026-01-03,Hyderabad-W1,EcomExpress,East,Electronics,Monday,Summer,2026-01-10,3,2026-01-13,Delayed,8.0,1075.6,1
O00160,2025-09-12,Bengaluru-W1,EcomExpress,South,Home,Monday,Spring,2025-09-17,2,2025-09-19,Delayed,20.4,1562.3,1
O00161,2026-04-08,Hyderabad-W1,BlueDart,East,Electronics,Tuesday,Winter,2026-04-14,1,2026-04-15,Delayed,10.4,1235.9,2
O00162,2025-09-25,Bengaluru-W1,BlueDart,East,Fashion,Monday,Spring,2025-10-01,1,2025-10-02,Delayed,10.1,689.8,2
O00163,2025-05-06,Mumbai-W1,Delhivery,East,Beauty,Monday,Monsoon,2025-05-12,0,2025-05-12,On Time,10.6,234.3,1
O00164,2026-01-28,Delhi-W1,BlueDart,Regional,Home,Tuesday,Festive,2026-02-02,4,2026-02-06,Delayed,17.5,1470.3,1
O00165,2025-11-30,Mumbai-W1,DTDC,Regional,Beauty,Wednesday,Summer,2025-12-02,2,2025-12-04,Delayed,58.8,1695.4,3
O00166,2026-07-19,Mumbai-W1,Delhivery,Regional,Electronics,Friday,Spring,2026-07-21,3,2026-07-24,Delayed,5.7,702.0,3
O00167,2026-01-03,Delhi-W1,DTDC,Regional,Electronics,Saturday,Festive,2026-01-10,6,2026-01-16,Delayed,27.2,1312.9,1
O00168,2026-07-09,Mumbai-W1,BlueDart,North,Electronics,Monday,Festive,2026-07-12,2,2026-07-14,Delayed,2.7,742.3,3
O00169,2026-07-08,Kolkata-W1,Delhivery,East,Beauty,Thursday,Winter,2026-07-13,2,2026-07-15,Delayed,6.9,906.6,2
O00170,2026-04-01,Bengaluru-W1,EcomExpress,North,Home,Tuesday,Summer,2026-04-05,2,2026-04-07,Delayed,3.7,1506.5,3
O00171,2025-03-08,Hyderabad-W1,XpressBees,South,Home,Sunday,Festive,2025-03-13,2,2025-03-15,Delayed,13.2,154.7,1
O00172,2025-03-07,Delhi-W1,EcomExpress,West,Fashion,Sunday,Summer,2025-03-14,4,2025-03-18,Delayed,15.6,957.0,1
O00173,2026-08-18,Kolkata-W1,DTDC,Local,Beauty,Monday,Spring,2026-08-21,0,2026-08-21,On Time,3.1,390.2,1
O00174,2026-02-04,Hyderabad-W1,EcomExpress,North,Fashion,Saturday,Festive,2026-02-07,5,2026-02-12,Delayed,16.9,615.0,1
O00175,2025-10-14,Hyderabad-W1,EcomExpress,Regional,Fashion,Wednesday,Festive,2025-10-17,8,2025-10-25,Delayed,10.8,1161.7,1
O00176,2025-07-05,Hyderabad-W1,XpressBees,Regional,Fashion,Wednesday,Spring,2025-07-07,5,2025-07-12,Delayed,14.5,53.9,1
O00177,2025-10-11,Mumbai-W1,XpressBees,South,Fashion,Saturday,Summer,2025-10-15,3,2025-10-18,Delayed,18.4,1070.9,1
O00178,2026-05-31,Mumbai-W1,EcomExpress,East,Electronics,Thursday,Summer,2026-06-03,4,2026-06-07,Delayed,13.4,513.8,1
O00179,2025-08-25,Mumbai-W1,XpressBees,Local,Fashion,Monday,Festive,2025-08-31,2,2025-09-02,Delayed,2.6,1206.7,3
O00180,2025-01-18,Mumbai-W1,EcomExpress,North,Home,Thursday,Spring,2025-01-20,3,2025-01-23,Delayed,6.4,259.1,1
O00181,2026-02-18,Kolkata-W1,Delhivery,East,Fashion,Wednesday,Monsoon,2026-02-22,0,2026-02-22,On Time,2.9,1325.8,1
O00182,2025-01-09,Mumbai-W1,EcomExpress,East,Electronics,Sunday,Summer,2025-01-15,5,2025-01-20,Delayed,1.5,1163.9,1
O00183,2026-02-24,Delhi-W1,BlueDart,West,Sports,Wednesday,Monsoon,2026-02-28,1,2026-03-01,Delayed,3.6,1748.4,1
O00184,2025-01-29,Hyderabad-W1,XpressBees,West,Sports,Friday,Festive,2025-02-05,3,2025-02-08,Delayed,6.8,1640.7,1
O00185,2025-12-14,Kolkata-W1,XpressBees,North,Sports,Wednesday,Monsoon,2025-12-18,2,2025-12-20,Delayed,25.9,513.5,1
O00186,2026-07-30,Mumbai-W1,DTDC,North,Beauty,Tuesday,Monsoon,2026-08-05,1,2026-08-06,Delayed,8.4,54.0,1
O00187,2026-03-26,Hyderabad-W1,DTDC,North,Home,Friday,Summer,2026-03-31,2,2026-04-02,Delayed,10.8,1181.4,3
