employee_id,department,role,age_band,tenure_years,compensation_band,performance_rating,monthly_overtime_hours,remote_days_per_month,job_satisfaction,attrition_probability,exit_status
E0032,Marketing,Analyst,46-55,1.4,High,3.7,10,20,1,0.14,Exited
E0033,,Specialist,46-55,3.3,Medium,3.2,6,1,2,0.14,Active
E0034,Marketing,Manager,18-25,7.4,Medium,4.4,11,2,3,0.1,Active
E0035,Marketing,Manager,26-35,0.6,Medium,4.0,13,3,2,0.2,Exited
E0036,HR,Associate,26-35,1.5,Medium,1.2,12,21,5,0.1,Active
E0037,HR,Analyst,18-25,0.5,Medium,5.0,13,4,4,0.16,Active
E0038,HR,Manager,36-45,3.1,Medium,4.0,14,9,5,0.1,Active
E0039,Sales,Associate,46-55,4.2,Low,4.5,7,19,2,0.18,Exited
E0040,Marketing,Manager,18-25,8.6,High,3.6,10,1,1,0.14,Active
E0041,Marketing,Manager,46-55,1.0,Low,4.4,11,11,4,0.14,Active
E0042,Marketing,Specialist,46-55,9.6,Low,1.4,10,4,4,0.14,Active
E0043,Operations,Specialist,46-55,0.2,Medium,2.4,9,4,2,0.2,Active
E0044,HR,Manager,26-35,3.0,Low,4.5,10,22,5,0.14,Active
E0045,Finance,Developer,46-55,0.2,Medium,1.8,9,0,2,0.2,Active
E0046,IT,Specialist,26-35,7.2,Medium,1.3,7,3,4,0.1,Active
E0047,Finance,Analyst,26-35,2.4,Medium,4.2,9,20,2,0.14,Active
E0048,Sales,Associate,18-25,3.5,Medium,4.3,14,11,4,0.1,Active
E0049,Sales,Associate,18-25,5.7,Low,1.7,11,11,5,0.14,Active
E0050,Marketing,Analyst,36-45,0.5,Low,4.4,9,15,1,0.24,Active
E0051,Finance,Analyst,26-35,0.1,High,3.7,6,16,1,0.2,Active
E0052,Marketing,Analyst,26-35,6.8,Medium,3.1,8,20,2,0.14,Active
E0053,Operations,Analyst,26-35,1.2,Medium,4.3,10,9,4,0.1,Active
E0054,Sales,Executive,36-45,0.4,Low,2.7,6,16,1,0.24,Active
E0055,Sales,Associate,18-25,2.0,Medium,1.8,7,16,4,0.1,Active
E0056,Finance,Executive,36-45,2.9,Medium,2.1,9,17,5,0.1,Exited
E0057,Sales,Manager,18-25,0.1,Medium,3.0,12,1,2,0.2,Exited
E0058,Operations,Manager,26-35,1.0,High,3.1,10,3,4,0.1,Active
E0059,Operations,Associate,26-35,0.1,Low,4.2,9,18,2,0.24,Exited
E0060,Operations,Manager,26-35,1.7,Medium,4.2,10,10,4,0.1,Active
E0061,IT,Analyst,26-35,7.2,High,3.3,14,16,4,0.1,Active
E0062,Operations,Executive,26-35,13.0,Very High,4.1,6,11,5,0.1,Active
E0063,Operations,Analyst,56+,3.2,Low,1.8,8,1,2,0.18,Active
E0064,IT,Manager,36-45,0.6,Medium,1.2,15,5,3,0.16,Exited
E0065,Marketing,Specialist,18-25,7.6,Low,4.5,13,8,4,0.14,Exited
E0066,HR,Executive,26-35,2.3,Low,1.3,7,4,4,0.14,Active
E0067,Sales,Analyst,46-55,0.5,Medium,2.0,6,19,1,0.2,Active
E0068,Operations,Associate,26-35,8.2,Low,3.8,8,20,2,0.18,Active
E0069,Sales,Analyst,18-25,4.5,High,2.6,7,8,3,0.1,Active
E0070,Finance,Specialist,36-45,4.2,Medium,4.5,6,22,5,0.1,Active
E0071,Sales,Manager,36-45,4.0,Low,2.2,8,7,3,0.14,Active
E0072,Marketing,Executive,36-45,0.7,Low,1.0,13,19,5,0.2,Active
E0073,IT,Associate,18-25,0.8,High,2.2,8,7,3,0.16,Active
E0074,Sales,Executive,18-25,3.7,Low,3.3,5,21,3,0.14,Active
E0075,Sales,Associate,36-45,0.8,Medium,2.5,7,20,2,0.2,Active
E0076,Sales,Executive,26-35,1.8,Medium,3.1,10,22,1,0.14,Active
E0077,HR,Manager,26-35,4.9,Medium,4.5,13,5,3,0.1,Active
E0078,HR,Associate,26-35,4.9,Medium,4.6,8,2,4,0.1,Active
E0079,Finance,Developer,26-35,1.9,Low,2.1,8,4,4,0.14,Active
E0080,IT,Executive,46-55,5.0,Low,2.8,10,8,4,0.14,Active
E0081,Sales,Executive,46-55,5.8,Low,3.2,11,6,1,0.18,Active
E0082,Sales,Analyst,36-45,3.4,Medium,4.8,8,3,3,0.1,Active
E0083,Sales,Associate,18-25,0.8,High,5.0,8,6,5,0.16,Active
E0084,Sales,Specialist,18-25,1.0,Medium,1.9,7,4,5,0.1,Active
E0085,HR,Developer,26-35,1.2,Low,3.9,8,10,2,0.18,Exited
E0086,Marketing,Manager,18-25,0.4,Medium,2.5,19,14,1,0.2,Active
E0087,Marketing,Analyst,56+,1.0,Medium,1.0,7,1,3,0.1,Active
E0088,Finance,Developer,18-25,0.8,Very High,1.0,9,12,4,0.16,Exited
E0089,Operations,Associate,26-35,1.9,Medium,2.8,10,21,1,0.14,Active
E0090,IT,Developer,26-35,7.7,Medium,3.0,5,15,1,0.14,Active
E0091,Marketing,Executive,36-45,0.4,Medium,1.1,12,6,3,0.16,Active
E0092,Sales,Executive,18-25,4.1,Very High,3.7,16,7,2,0.14,Active
E0093,Marketing,Analyst,26-35,3.7,High,2.2,9,5,2,0.14,Active
E0094,Finance,Associate,26-35,0.3,Medium,3.2,9,6,2,0.2,Active
E0095,Operations,Associate,46-55,8.2,Low,2.2,10,17,4,0.14,Active
E0096,Marketing,Developer,18-25,2.7,Medium,1.7,14,21,4,0.1,Active
E0097,Finance,Analyst,46-55,1.4,Medium,2.6,9,21,3,0.1,Active
E0098,HR,Associate,46-55,4.5,High,1.9,9,19,2,0.14,Active
E0099,Operations,Specialist,26-35,1.0,Medium,3.1,13,6,3,0.1,Active
E0100,Finance,Specialist,36-45,3.8,Low,1.8,5,2,2,0.18,Active
E0101,Marketing,Executive,18-25,0.1,High,3.0,5,4,1,0.2,Active
E0102,HR,Developer,56+,5.9,High,1.6,6,0,5,0.1,Active
E0103,Finance,Manager,26-35,1.9,Medium,3.7,12,14,5,0.1,Active
E0104,Finance,Executive,26-35,3.2,High,4.0,9,2,2,0.14,Active
E0105,Marketing,Analyst,26-35,0.8,Medium,1.4,13,7,3,0.16,Active
E0106,Operations,Associate,18-25,3.6,High,2.9,10,8,4,0.1,Active
E0107,HR,Executive,56+,4.7,High,1.3,7,14,2,0.14,Active
E0108,Sales,Manager,18-25,2.1,Medium,3.4,7,9,2,0.14,Active
E0109,IT,Manager,36-45,3.1,High,2.1,7,1,4,0.1,Active
E0110,Operations,Specialist,26-35,2.0,High,3.1,7,19,2,0.14,Active
E0111,HR,Analyst,46-55,7.2,Medium,3.1,14,4,1,0.14,Active
E0112,Finance,Executive,26-35,2.2,Medium,4.7,11,18,4,0.1,Active
E0113,HR,Developer,26-35,5.9,High,3.2,12,12,1,0.14,Active
E0114,IT,Executive,26-35,5.2,Low,3.3,13,10,5,0.14,Active
E0115,Marketing,Specialist,36-45,1.7,Medium,2.6,9,0,4,0.1,Active
E0116,IT,Manager,18-25,0.8,High,4.8,14,21,4,0.16,Exited
E0117,Sales,Analyst,26-35,1.7,High,4.1,11,14,3,0.1,Active
E0118,Sales,Analyst,26-35,5.6,Medium,2.1,9,17,3,0.1,Active
E0119,IT,Developer,36-45,0.8,Low,4.4,16,15,4,0.2,Active
E0120,Operations,Analyst,26-35,2.4,Medium,2.7,10,8,5,0.1,Active
E0121,Operations,Specialist,36-45,5.2,Medium,4.3,12,0,2,0.14,Active
E0122,Finance,Specialist,26-35,1.4,Low,4.3,13,10,3,0.14,Active
E0123,Sales,Specialist,46-55,3.3,High,1.8,9,8,5,0.1,Active
E0124,Finance,Analyst,46-55,0.9,Medium,3.8,14,22,5,0.16,Exited
E0125,Sales,Analyst,26-35,0.4,Medium,2.2,9,10,3,0.16,Active
E0126,IT,Specialist,26-35,5.1,Medium,2.2,9,12,2,0.14,Active
E0127,Operations,Analyst,26-35,0.3,Very High,2.2,11,1,3,0.16,Active
E0128,Operations,Analyst,18-25,1.0,Medium,3.9,15,13,5,0.1,Exited
E0129,IT,Manager,26-35,6.2,Low,1.9,10,5,1,0.18,Active
E0130,Finance,Executive,36-45,1.4,Low,1.0,10,7,3,0.14,Active
E0131,Finance,Associate,26-35,11.6,Medium,3.9,12,17,5,0.1,Active
E0132,HR,Analyst,46-55,12.5,Medium,1.7,7,15,3,0.1,Active
E0133,Sales,Associate,26-35,1.0,Medium,1.4,10,20,5,0.1,Active
E0134,Finance,Associate,36-45,0.1,Medium,2.0,10,11,2,0.2,Active
E0135,IT,Manager,26-35,3.9,Low,2.5,12,10,5,0.14,Active
E0136,Finance,Analyst,26-35,1.9,Medium,2.9,11,5,4,0.1,Active
E0137,Operations,Specialist,26-35,0.3,Medium,1.2,10,2,1,0.2,Active
E0138,Sales,Associate,26-35,3.9,Low,4.9,8,13,5,0.14,Active
E0139,Marketing,Analyst,26-35,0.1,Low,3.9,6,1,3,0.2,Active
E0140,HR,Developer,36-45,6.5,Low,2.3,11,10,3,0.14,Active
E0141,Sales,Specialist,46-55,0.5,Low,2.3,13,21,5,0.2,Active
E0142,Operations,Developer,26-35,0.4,Medium,2.8,13,2,4,0.16,Active
E0143,Operations,Developer,18-25,0.6,Low,3.5,5,17,5,0.2,Exited
E0144,Operations,Associate,26-35,10.3,Medium,1.6,11,0,2,0.14,Active
E0145,Operations,Developer,26-35,3.8,Low,1.8,9,0,4,0.14,Active
E0146,IT,Manager,18-25,5.2,Very High,4.4,8,11,5,0.1,Active
E0147,HR,Manager,36-45,1.6,High,2.0,14,14,1,0.14,Active
E0148,Marketing,Associate,56+,1.3,Low,2.5,14,4,4,0.14,Active
E0149,Operations,Analyst,46-55,0.9,Medium,4.5,14,5,5,0.16,Active
E0150,Operations,Executive,26-35,2.1,Low,3.7,5,15,1,0.18,Active
E0151,Finance,Analyst,46-55,2.6,Medium,2.4,10,11,5,0.1,Active
E0152,HR,Analyst,36-45,3.2,Low,3.7,9,11,2,0.18,Exited
E0153,Sales,Analyst,26-35,1.0,High,1.1,10,2,3,0.1,Exited
E0154,HR,Analyst,26-35,9.5,Medium,3.9,8,22,5,0.1,Active
E0155,HR,Specialist,46-55,0.6,High,2.9,20,1,4,0.16,Exited
E0156,Marketing,Executive,26-35,10.8,Low,4.3,12,6,5,0.14,Exited
E0157,HR,Specialist,26-35,0.1,High,4.8,12,1,5,0.16,Active
E0158,Marketing,Developer,26-35,2.1,High,4.7,10,20,5,0.1,Active
E0159,Operations,Analyst,36-45,1.3,Low,4.6,9,6,5,0.14,Active
E0160,Operations,Manager,26-35,1.9,Medium,3.0,10,10,4,0.1,Active
E0161,IT,Associate,46-55,2.7,Low,2.4,15,10,4,0.14,Active
E0162,Marketing,Associate,36-45,1.8,Medium,2.9,9,13,5,0.1,Active
E0163,Marketing,Specialist,36-45,1.7,Medium,3.8,9,2,3,0.1,Active
E0164,Sales,Specialist,18-25,4.2,Medium,4.5,10,13,5,0.1,Active
E0165,Finance,Manager,36-45,3.7,Medium,1.8,6,10,4,0.1,Active
E0166,HR,Analyst,18-25,5.7,Very High,4.7,9,3,2,0.14,Active
E0167,Sales,Executive,18-25,0.9,Low,4.3,9,16,5,0.2,Active
E0168,Marketing,Developer,26-35,3.0,Very High,4.9,7,15,5,0.1,Exited
E0169,Sales,Associate,26-35,2.8,Low,4.5,14,2,5,0.14,Active
E0170,IT,Developer,36-45,1.5,High,2.1,16,9,5,0.1,Exited
E0171,Finance,Executive,18-25,2.1,Medium,1.4,8,20,1,0.14,Active
E0172,Marketing,Specialist,26-35,1.2,Low,1.4,6,14,5,0.14,Active
E0173,Marketing,Associate,18-25,0.5,High,2.2,6,7,4,0.16,Active
E0174,HR,Developer,56+,0.8,Medium,3.5,11,17,4,0.16,Exited
E0175,Finance,Specialist,36-45,0.4,High,4.2,1,2,1,0.2,Exited
E0176,IT,Executive,36-45,3.7,Medium,4.6,8,6,5,0.1,Active
E0177,Operations,Developer,26-35,3.5,Medium,3.5,9,9,3,0.1,Active
E0178,Sales,Analyst,18-25,9.6,Medium,1.0,10,19,5,0.1,Active
E0179,HR,Specialist,56+,4.2,High,1.7,8,8,4,0.1,Active
E0180,Marketing,Executive,26-35,0.2,Low,1.4,10,13,2,0.24,Active
E0181,Operations,Developer,26-35,6.9,High,2.5,9,22,2,0.14,Active
E0182,IT,Analyst,36-45,6.4,High,3.0,10,13,3,0.1,Exited
E0183,Finance,Analyst,18-25,1.9,Low,1.2,10,10,5,0.14,Exited
E0184,Sales,Executive,46-55,2.8,Low,2.4,12,0,1,0.18,Active
E0185,HR,Manager,26-35,11.9,High,1.7,9,3,5,0.1,Active
E0186,Marketing,Associate,26-35,2.4,Medium,3.6,13,5,3,0.1,Exited
E0187,Marketing,Executive,18-25,7.5,Medium,2.9,9,21,3,0.1,Active
E0188,Operations,Analyst,18-25,0.3,Low,3.0,5,21,3,0.2,Exited
E0189,Operations,Analyst,46-55,0.7,Medium,2.7,10,4,2,0.2,Active
E0190,Sales,Executive,36-45,1.9,Low,4.8,11,2,5,0.14,Active
E0191,Finance,Manager,26-35,2.8,Medium,1.9,14,1,5,0.1,Active
E0192,IT,Associate,18-25,5.4,High,3.1,6,2,1,0.14,Active
E0193,Finance,Developer,36-45,14.2,Medium,3.9,9,8,3,0.1,Active
E0194,Finance,Executive,36-45,1.6,Medium,3.2,11,18,3,0.1,Exited
E0195,Finance,Associate,26-35,0.2,Very High,4.7,10,18,4,0.16,Active
E0196,Sales,Associate,26-35,5.2,High,2.5,14,16,4,0.1,Exited
E0197,Sales,Specialist,26-35,3.0,High,2.9,19,17,2,0.14,Active
E0198,IT,Analyst,36-45,0.7,Medium,1.4,18,10,5,0.16,Active
E0199,Finance,Developer,56+,2.2,High,3.4,7,11,1,0.14,Active
E0200,Sales,Executive,18-25,4.3,Low,2.2,11,2,1,0.18,Active
E0201,IT,Analyst,36-45,4.7,Low,1.6,14,17,3,0.14,Active
E0202,Marketing,Specialist,26-35,2.2,Low,3.2,15,5,1,0.18,Active
E0203,IT,Specialist,26-35,1.2,Medium,3.1,13,6,3,0.1,Active
E0204,Finance,Analyst,26-35,11.6,High,1.3,10,0,5,0.1,Active
E0205,HR,Manager,46-55,3.5,Medium,3.8,8,5,1,0.14,Active
E0206,Finance,Associate,26-35,1.7,High,3.5,6,17,3,0.1,Active
E0207,HR,Executive,26-35,1.1,High,1.8,11,12,5,0.1,Active
E0208,IT,Executive,26-35,4.2,Medium,2.9,12,21,5,0.1,Active
E0209,Marketing,Executive,26-35,0.9,Medium,3.9,11,18,3,0.16,Active
E0210,Marketing,Analyst,18-25,0.6,Medium,3.1,10,6,3,0.16,Active
E0211,Sales,Manager,36-45,2.4,Medium,2.6,7,18,2,0.14,Exited
E0212,Marketing,Developer,26-35,1.1,Low,2.3,15,8,5,0.14,Exited
E0213,Operations,Specialist,36-45,3.2,Very High,3.4,7,2,3,0.1,Active
E0214,IT,Analyst,26-35,0.4,Low,4.8,14,22,5,0.2,Exited
E0215,Sales,Developer,26-35,3.4,Low,3.7,13,11,1,0.18,Active
E0216,Marketing,Specialist,26-35,1.1,High,1.3,8,19,4,0.1,Active
E0217,IT,Specialist,26-35,0.1,Medium,2.8,14,17,4,0.16,Active
E0218,Finance,Manager,18-25,0.4,High,4.6,6,7,3,0.16,Active
E0219,Marketing,Associate,26-35,8.7,Medium,1.4,8,8,3,0.1,Active
E0220,HR,Executive,36-45,6.5,Medium,5.0,11,12,5,0.1,Active
E0221,IT,Developer,36-45,0.9,Medium,4.8,10,7,3,0.16,Active
E0222,Sales,Analyst,26-35,4.8,Medium,1.3,10,21,5,0.1,Active
E0223,Finance,Developer,26-35,3.0,Medium,4.7,12,9,3,0.1,Exited
E0224,Operations,Associate,26-35,11.3,High,2.5,9,16,5,0.1,Active
E0225,Finance,Executive,26-35,1.5,Medium,4.4,18,6,3,0.1,Active
E0226,Marketing,Developer,18-25,3.7,Very High,2.7,8,16,2,0.14,Active
E0227,HR,Associate,46-55,0.2,Low,2.8,15,22,5,0.2,Active
E0228,Finance,Analyst,26-35,1.6,Medium,3.5,17,17,2,0.14,Active
E0229,Operations,Manager,26-35,10.6,Medium,4.1,11,1,2,0.14,Active
E0230,Sales,Specialist,26-35,2.5,Very High,1.1,16,2,2,0.14,Active
E0231,IT,Analyst,18-25,1.1,Low,3.4,10,18,2,0.18,Exited
E0232,HR,Executive,36-45,0.4,Medium,1.7,11,0,1,0.2,Active
E0233,Operations,Specialist,18-25,3.9,High,2.4,9,20,4,0.1,Active
E0234,Marketing,Analyst,18-25,3.3,Low,2.4,6,20,1,0.18,Active
E0235,Marketing,Analyst,36-45,1.5,High,2.9,7,9,3,0.1,Active
E0236,Marketing,Analyst,26-35,9.6,Low,2.3,7,20,3,0.14,Active
E0237,HR,Analyst,36-45,0.1,High,1.4,7,13,4,0.16,Active
E0238,Finance,Specialist,26-35,1.2,Very High,1.6,11,12,4,0.1,Active
E0239,HR,Executive,26-35,8.1,High,1.1,8,8,4,0.1,Active
E0240,Marketing,Associate,36-45,1.2,Medium,2.9,17,5,2,0.14,Active
E0241,Operations,Developer,18-25,0.9,Low,4.8,12,5,1,0.24,Active
E0242,IT,Manager,26-35,2.4,Very High,1.5,8,18,3,0.1,Active
E0243,IT,Developer,26-35,5.6,Medium,4.8,7,20,1,0.14,Active
E0244,HR,Developer,26-35,0.3,Low,3.9,7,9,1,0.24,Active
E0245,Marketing,Manager,36-45,9.2,High,3.5,10,22,1,0.14,Exited
E0246,Sales,Specialist,46-55,5.1,Medium,3.6,9,2,4,0.1,Active
E0247,HR,Executive,56+,0.6,Low,4.3,9,17,4,0.2,Active
E0248,Marketing,Manager,36-45,4.0,Low,1.4,11,20,3,0.14,Active
E0249,Finance,Executive,26-35,1.6,Low,3.0,10,18,3,0.14,Active
E0250,IT,Specialist,26-35,1.6,Medium,3.8,5,4,3,0.1,Active
E0251,IT,Developer,26-35,4.9,Medium,3.3,7,10,1,0.14,Active
E0252,IT,Executive,26-35,10.5,Medium,4.3,7,9,4,0.1,Active
E0253,Sales,Specialist,26-35,0.4,High,1.3,7,16,2,0.2,Active
E0254,Marketing,Specialist,46-55,1.7,High,3.8,9,3,1,0.14,Active
E0255,Marketing,Associate,26-35,2.1,Medium,3.1,10,20,5,0.1,Active
E0256,Marketing,Manager,26-35,1.5,Low,2.5,11,17,1,0.18,Active
E0257,Marketing,Associate,26-35,1.4,High,2.4,11,17,4,0.1,Active
E0258,Sales,Developer,46-55,0.2,Medium,3.5,7,0,5,0.16,Active
E0259,Operations,Manager,36-45,3.7,Medium,4.6,10,13,1,0.14,Exited
E0260,HR,Developer,36-45,1.8,Medium,3.0,7,7,4,0.1,Active
E0261,HR,Associate,26-35,0.7,Medium,4.3,13,1,4,0.16,Exited
E0262,Marketing,Specialist,46-55,5.4,High,2.6,10,18,2,0.14,Active
E0263,Finance,Developer,18-25,5.2,Low,1.4,14,14,1,0.18,Active
E0264,IT,Manager,46-55,2.1,High,1.2,11,1,4,0.1,Exited
E0265,Sales,Manager,26-35,1.1,Low,1.2,11,3,3,0.14,Active
E0266,Finance,Developer,26-35,3.3,Very High,2.5,11,0,4,0.1,Active
E0267,Finance,Manager,26-35,1.1,Low,2.3,12,18,2,0.18,Active
E0268,Marketing,Specialist,36-45,0.9,Low,3.9,12,20,4,0.2,Active
E0269,Sales,Specialist,18-25,4.2,Medium,4.0,9,9,1,0.14,Active
E0270,HR,Manager,46-55,0.1,Medium,1.2,7,0,1,0.2,Active
E0271,IT,Developer,26-35,0.3,Low,1.9,11,19,5,0.2,Active
E0272,HR,Associate,26-35,0.1,Medium,2.1,8,21,1,0.2,Exited
E0273,Finance,Manager,18-25,0.5,Medium,3.2,11,14,5,0.16,Exited
E0274,IT,Manager,26-35,0.2,Low,1.6,12,3,3,0.2,Active
E0275,Operations,Manager,26-35,17.5,Medium,1.5,7,6,2,0.14,Active
E0276,Finance,Manager,26-35,1.1,High,4.8,12,6,3,0.1,Active
E0277,HR,Developer,36-45,0.5,High,4.2,12,21,5,0.16,Active
E0278,HR,Associate,26-35,0.9,High,1.7,5,17,4,0.16,Active
E0279,Marketing,Associate,56+,8.8,High,2.6,8,12,4,0.1,Active
E0280,HR,Executive,36-45,2.3,Medium,2.4,8,9,3,0.1,Active
E0281,Sales,Manager,36-45,1.5,Low,4.2,6,7,4,0.14,Active
E0282,Finance,Manager,18-25,6.6,Medium,3.0,8,9,5,0.1,Active
E0283,IT,Executive,26-35,1.6,High,1.5,8,13,2,0.14,Active
E0284,HR,Associate,26-35,1.3,Very High,4.0,5,13,1,0.14,Active
E0285,Marketing,Analyst,36-45,0.7,Medium,2.6,14,19,5,0.16,Active
E0286,Marketing,Specialist,46-55,1.5,Low,2.1,5,21,5,0.14,Active
E0287,HR,Analyst,18-25,1.2,Low,2.5,9,10,1,0.18,Exited
E0288,Sales,Associate,18-25,3.6,Medium,3.0,11,5,1,0.14,Active
E0289,Marketing,Manager,46-55,1.1,Medium,2.4,13,20,2,0.14,Exited
E0290,IT,Analyst,26-35,2.8,Low,2.0,12,0,2,0.18,Active
E0291,Finance,Developer,36-45,0.2,Very High,2.6,9,18,2,0.2,Active
E0292,Operations,Developer,26-35,0.7,Medium,1.1,6,6,4,0.16,Active
E0293,Sales,Executive,46-55,1.7,High,4.1,10,17,5,0.1,Active
E0294,Marketing,Associate,18-25,8.8,High,1.7,10,2,1,0.14,Active
E0295,Finance,Associate,18-25,1.5,High,1.2,6,19,5,0.1,Active
E0296,Operations,Analyst,26-35,3.5,Medium,3.6,7,10,5,0.1,Active
E0297,HR,Manager,46-55,0.9,Medium,4.1,10,4,2,0.2,Exited
E0298,HR,Associate,26-35,0.4,Medium,4.3,10,18,2,0.2,Active
E0299,IT,Analyst,26-35,0.2,Medium,3.0,8,20,5,0.16,Active
E0300,Operations,Analyst,36-45,1.2,Medium,1.8,14,1,2,0.14,Active
E0301,HR,Specialist,46-55,0.5,Very High,3.9,9,21,4,0.16,Active
E0302,HR,Specialist,46-55,0.6,High,3.8,13,3,1,0.2,Active
E0303,Marketing,Associate,56+,4.6,High,2.0,10,9,5,0.1,Active
E0304,IT,Analyst,18-25,0.1,High,4.6,6,1,1,0.2,Active
E0305,Finance,Executive,18-25,2.6,Low,1.4,8,7,4,0.14,Active
E0306,HR,Executive,36-45,1.5,Low,4.9,10,0,2,0.18,Active
E0307,Sales,Specialist,46-55,2.3,Medium,4.4,19,5,3,0.1,Active
E0308,Sales,Associate,26-35,2.6,Medium,3.8,13,10,4,0.1,Active
E0309,Finance,Manager,26-35,1.2,High,4.8,9,9,3,0.1,Active
E0310,Operations,Executive,36-45,1.1,Medium,3.9,11,12,1,0.14,Active
E0311,IT,Executive,18-25,4.2,Medium,1.8,8,0,5,0.1,Active
E0312,Marketing,Specialist,26-35,6.6,Medium,2.8,8,1,2,0.14,Exited
E0313,Sales,Specialist,26-35,0.7,Low,1.3,10,2,4,0.2,Active
E0314,Sales,Associate,36-45,0.3,Medium,2.6,16,8,2,0.2,Active
E0315,Finance,Specialist,36-45,7.3,High,4.0,4,4,3,0.1,Active
E0316,Operations,Developer,26-35,1.4,Low,2.5,11,9,3,0.14,Active
E0317,Operations,Analyst,36-45,2.6,Medium,2.3,12,9,5,0.1,Active
E0318,Finance,Executive,36-45,1.4,Medium,3.4,8,11,3,0.1,Active
E0319,Sales,Developer,26-35,0.4,Low,4.5,9,17,5,0.2,Active
E0320,IT,Manager,36-45,2.8,Low,1.2,6,20,4,0.14,Active
E0321,Sales,Developer,26-35,2.4,Very High,2.5,7,20,5,0.1,Active
E0322,Operations,Associate,18-25,0.7,Medium,1.6,8,0,3,0.16,Exited
E0323,Marketing,Manager,18-25,1.9,Low,3.8,11,2,1,0.18,Active
E0324,Sales,Manager,26-35,5.1,Low,1.4,11,4,5,0.14,Exited
E0325,IT,Specialist,26-35,2.9,High,3.7,9,16,2,0.14,Active
E0326,HR,Developer,46-55,0.3,Medium,2.1,9,7,1,0.2,Active
E0327,Sales,Associate,36-45,2.5,Medium,1.8,7,16,5,0.1,Active
E0328,Finance,Executive,36-45,3.9,Low,4.7,11,8,2,0.18,Active
E0329,HR,Specialist,26-35,5.0,High,1.1,4,5,1,0.14,Active
E0330,Finance,Developer,26-35,3.2,Medium,2.8,10,16,5,0.1,Exited
E0331,Finance,Executive,26-35,0.5,Medium,1.1,8,7,4,0.16,Active
E0332,Finance,Developer,26-35,4.0,Medium,2.9,11,20,2,0.14,Active
E0333,Sales,Specialist,18-25,3.6,Medium,3.0,7,6,4,0.1,Active
E0334,Operations,Executive,36-45,0.1,High,2.3,9,6,3,0.16,Active
E0335,HR,Specialist,56+,1.7,Very High,1.5,9,14,5,0.1,Active
E0336,IT,Developer,18-25,1.3,Medium,2.5,13,6,5,0.1,Active
E0337,Operations,Manager,18-25,3.5,High,3.7,7,21,2,0.14,Active
E0338,Sales,Analyst,36-45,0.8,High,4.1,7,7,5,0.16,Active
E0339,Finance,Manager,26-35,2.9,Very High,3.1,12,8,3,0.1,Active
E0340,IT,Specialist,46-55,7.8,Low,3.4,8,14,5,0.14,Active
E0341,HR,Specialist,36-45,5.1,Medium,1.8,12,1,1,0.14,Active
